CODIGO_DA_IES,NOME_DA_IES,SIGLA,CATEGORIA_DA_IES,COMUNITARIA,CONFESSIONAL,FILANTROPICA,ORGANIZACAO_ACADEMICA,CODIGO_MUNICIPIO_IBGE,MUNICIPIO,UF,SITUACAO_IES
29,Universidade Estadual Do Ceará,UECE,Pública,Não,Não,Não,Universidade,2304400.0,Fortaleza,CE,Em Atividade
4873,Faculdade Integrada De Taubaté,FACULDADE FITAU,Privada,Não,Não,Não,Faculdade,3554102.0,Taubaté,SP,Extinta
1563,Centro Universitário Uninovafapi,UNINOVAFAPI,Privada,Não,Não,Não,Centro Universitário,2211001.0,Teresina,PI,Em Atividade
12247,"Instituto Brasileiro De Ensino, Desenvolvimento E Pesquisa De Brasília",IDP-BSB,Privada,Não,Não,Não,Faculdade,5300108.0,Brasília,DF,Em Atividade
2460,Faculdade Estácio De Natal,Estacio Natal,Privada,Não,Não,Não,Faculdade,2408102.0,Natal,RN,Em Atividade
2688,Faculdade Inesp - Instituto Nacional De Ensino E Pesquisa,INESP,Privada,Não,Não,Não,Faculdade,3524402.0,Jacareí,SP,Em Atividade
23278,Faculdade De Agronomia Una De Itumbiara,Não informado,Privada,Não,Não,Não,Faculdade,5211503.0,Itumbiara,GO,Em Atividade
3789,Faculdade Evangélica De Goianésia,FACEG,Privada,Não,Não,Não,Faculdade,5208608.0,Goianésia,GO,Em Atividade
2845,Cesrei Faculdade,Não informado,Privada,Não,Não,Não,Faculdade,2504009.0,Campina Grande,PB,Em Atividade
15001,Universidade Federal Da Integração Latino-Americana,UNILA,Pública,Não,Não,Não,Universidade,4108304.0,Foz Do Iguaçu,PR,Em Atividade
3115,Instituto Superior De Educação Santo Agostinho De Pirapora,ISAP,Privada,Não,Não,Não,Faculdade,3151206.0,Pirapora,MG,Extinta
21366,Faculdade Unifael Curitiba,FAEL CURITIBA,Privada,Não,Não,Não,Faculdade,4106902.0,Curitiba,PR,Em Atividade
25807,Instituto De Pós-Graduação E Estudos Em Tecnologia Da Saúde,IETECS,Privada,Não,Não,Não,Faculdade,3304557.0,Rio De Janeiro,RJ,Em Atividade
213,Centro Universitário Álvares Penteado,FECAP,Privada,Sim,Não,Não,Centro Universitário,3550308.0,São Paulo,SP,Em Atividade
1486,Centro Universitário Estácio De Vitória,ESTÁCIO VITÓRIA,Privada,Não,Não,Não,Centro Universitário,3205309.0,Vitória,ES,Em Atividade
1653,Faculdade De Ciência E Educação Do Caparaó,FACEC,Privada,Não,Não,Não,Faculdade,3202306.0,Guaçuí,ES,Em Atividade
3647,Faculdade De Tecnologia Marista,CETEMA,Privada,Não,Não,Não,Faculdade,3106200.0,Belo Horizonte,MG,Extinta
1286,Faculdade De Tecnologia Senai Mario Amato,SENAI,Privada,Não,Não,Não,Faculdade,3548708.0,São Bernardo Do Campo,SP,Em Atividade
22144,Faculdade De Ciências Jurídicas De Luziânia,Não informado,Privada,Não,Não,Não,Faculdade,5212501.0,Luziânia,GO,Em Atividade
1412,Faculdade Anhanguera De Jundiaí,FAJ,Privada,Não,Não,Não,Faculdade,3525904.0,Jundiaí,SP,Em Atividade
2035,Faculdade Fatifajar Jaguariaíva,FAJAR,Privada,Não,Não,Não,Faculdade,4112009.0,Jaguariaíva,PR,Em Atividade
14069,Faculdade De Tecnologia Porto Sul,FAPS,Privada,Não,Não,Não,Faculdade,3541000.0,Praia Grande,SP,Em Atividade
4945,Faculdades Ipede,Não informado,Privada,Não,Não,Não,Faculdade,2207702.0,Parnaíba,PI,Em Atividade
22325,Faculdade Christus,Christus Eusébio,Privada,Não,Não,Não,Faculdade,2304285.0,Eusébio,CE,Em Atividade
14166,Faculdade Presidente Antônio Carlos De Itabira,FUNEES Itabira,Privada,Não,Não,Não,Faculdade,3131703.0,Itabira,MG,Extinta
1697,Centro Universitário Facol,UNIFACOL,Privada,Não,Não,Não,Centro Universitário,2616407.0,Vitória De Santo Antão,PE,Em Atividade
2134,Faculdade Assembleiana Do Brasil,Não informado,Privada,Não,Não,Não,Faculdade,5208707.0,Goiânia,GO,Em Atividade
2724,Instituto De Ensino Superior Do Sul Do Maranhão,IESMA,Privada,Não,Não,Não,Faculdade,2105302.0,Imperatriz,MA,Em Atividade
2423,Faculdade De Ciência E Tecnologia De Montes Claros,FACIT,Privada,Não,Não,Não,Faculdade,3143302.0,Montes Claros,MG,Em Atividade
18338,Faculdade Gamaliel,FAGAMA,Privada,Não,Não,Não,Faculdade,5214606.0,Niquelândia,GO,Extinta
1202,Centro Universitário Santa Rita,UNIFASAR,Privada,Não,Não,Não,Centro Universitário,3118304.0,Conselheiro Lafaiete,MG,Em Atividade
16453,Faculdade Unirb -  Ceará,F. UNIRB,Privada,Não,Não,Não,Faculdade,2304400.0,Fortaleza,CE,Extinta
768,Faculdade De Administração De Nova Andradina,FANA,Privada,Não,Não,Não,Faculdade,5006200.0,Nova Andradina,MS,Extinta
10071,Faculdade De Teologia E Ciências Humanas,ITEPAFACULDADES,Privada,Não,Não,Não,Faculdade,4314100.0,Passo Fundo,RS,Em Atividade
1939,Instituto De Ensino Superior De Londrina - Inesul,INESUL,Privada,Não,Não,Não,Faculdade,4113700.0,Londrina,PR,Em Atividade
1833,Faculdade De Arujá,FAR,Privada,Não,Não,Não,Faculdade,3503901.0,Arujá,SP,Extinta
837,Faculdade De Ciências Humanas De Fortaleza,FCHFOR,Privada,Não,Não,Não,Faculdade,2304400.0,Fortaleza,CE,Extinta
14207,Faculdade Presidente Antônio Carlos De Juatuba,FUNEES,Privada,Não,Não,Não,Faculdade,3136652.0,Juatuba,MG,Extinta
25307,Afya Faculdade De Ciências Médicas De Abaetetuba,AFYA ABAETETUBA,Privada,Não,Não,Não,Faculdade,1500107.0,Abaetetuba,PA,Em Atividade
